   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved      Average_Intensity_M4    Average_Intensity_M1        
      4126            -15811            -15811             -9492             -9492        -0.0007640625541        -1.813411103
      4127            -15811            -15811            -11067            -11067        -0.000762806094        -1.803660933
      4128            -15811            -15811            -12642            -12642        -0.00076647689        -1.276474246
      4129            -15811            -15811            -14217            -14217        -0.0007652713998        -0.4413388232
      4130            -15811            -15811            -15792            -15792        -0.0007633938347        -1.431300754
      4131            -15811            -15811            -17367            -17367        -0.0007596678083        -1.80598071
      4132            -15811            -15811            -18942            -18942        -0.0007612691808        -1.819736735
      4133            -15811            -15811            -20517            -20517        -0.0007616636198        -1.830308652
      4134            -15811            -15811            -22092            -22092        -0.0007601878782        -1.821003568
      4135            -15811            -15811            -23667            -23667        -0.0007614382896        -1.814954237
      4136            -15811            -15811            -25242            -25242        -0.0007634003873        -1.814311048
      4137            -15811            -15811            -26817            -26817        -0.0007636107416        -1.816442953
      4138            -15811            -15811            -28392            -28392        -0.0007602904164        -1.814826552
      4139            -17386            -17386             -3192             -3192        -0.0007558536413        -1.805565871
      4140            -17386            -17386             -4767             -4767        -0.0007567299667        -1.821742979
      4141            -17386            -17386             -6342             -6342        -0.0007630403028        -1.822026413
      4142            -17386            -17386             -7917             -7917        -0.0007648945039        -1.811708069
      4143            -17386            -17386             -9492             -9492        -0.0007586653664        -1.816139846
      4144            -17386            -17386            -11067            -11067        -0.0007604586143        -1.819441495
      4145            -17386            -17386            -12642            -12642        -0.0007624037227        -1.821672943
      4146            -17386            -17386            -14217            -14217        -0.0007640381328        -1.811424888
      4147            -17386            -17386            -15792            -15792        -0.0007611304585        -1.825338999
      4148            -17386            -17386            -17367            -17367        -0.0007591860799        -1.811677512
      4149            -17386            -17386            -18942            -18942        -0.0007587923768        -1.811047055
      4150            -17386            -17386            -20517            -20517        -0.0007585803656        -1.809031492
      4151            -17386            -17386            -22092            -22092        -0.0007598644381        -1.804909738
      4152            -17386            -17386            -23667            -23667        -0.0007621261832        -1.806144366
      4153            -17386            -17386            -25242            -25242        -0.0007614425765        -1.80819872
      4154            -17386            -17386            -26817            -26817        -0.0007703952561        -1.818113213
      4155            -17386            -17386            -28392            -28392        -0.0007670833583        -1.806090316
      4156            -18961            -18961             -3192             -3192        -0.0007662551037        -1.792488403
      4157            -18961            -18961             -4767             -4767        -0.0007721244994        -1.80899133
      4158            -18961            -18961             -6342             -6342        -0.0007701152616        -1.807424087
      4159            -18961            -18961             -7917             -7917        -0.0007724729139        -1.79425156
      4160            -18961            -18961             -9492             -9492        -0.0007712374781        -1.801384658
      4161            -18961            -18961            -11067            -11067        -0.0007704581902        -1.796205231
      4162            -18961            -18961            -12642            -12642        -0.000766730837        -1.813307334
      4163            -18961            -18961            -14217            -14217        -0.0007691701119        -1.801320425
      4164            -18961            -18961            -15792            -15792        -0.0007674226488        -1.81116343
      4165            -18961            -18961            -17367            -17367        -0.000768801692        -1.802658687
      4166            -18961            -18961            -18942            -18942        -0.0007700658814        -1.809338482
      4167            -18961            -18961            -20517            -20517        -0.000772879602        -1.809330244
      4168            -18961            -18961            -22092            -22092        -0.0007724474209        -1.810109088
      4169            -18961            -18961            -23667            -23667        -0.0007704934431        -1.807859044
      4170            -18961            -18961            -25242            -25242        -0.0007712230394        -1.810837307
      4171            -18961            -18961            -26817            -26817        -0.0007711620531        -1.803548869
      4172            -18961            -18961            -28392            -28392        -0.0007745900998        -1.80664134
      4173            -20536            -20536             -3192             -3192        -0.0007663011276        -1.807748914
      4174            -20536            -20536             -4767             -4767        -0.0007657173106        -1.802622264
      4175            -20536            -20536             -6342             -6342        -0.0007685593285        -1.808546968
      4176            -20536            -20536             -7917             -7917        -0.0007687706156        -1.806483609
      4177            -20536            -20536             -9492             -9492        -0.0007646332569        -1.784090877
      4178            -20536            -20536            -11067            -11067        -0.0007642820439        -1.808714955
      4179            -20536            -20536            -12642            -12642        -0.0007635070978        -1.792507756
      4180            -20536            -20536            -14217            -14217        -0.000764919008        -1.810364703
      4181            -20536            -20536            -15792            -15792        -0.0007633727555        -1.810151731
      4182            -20536            -20536            -17367            -17367        -0.0007592457268        -1.800780251
      4183            -20536            -20536            -18942            -18942        -0.000760674879        -1.812918974
      4184            -20536            -20536            -20517            -20517        -0.0007612398271        -1.806353955
      4185            -20536            -20536            -22092            -22092        -0.0007589832482        -1.811076137
      4186            -20536            -20536            -23667            -23667        -0.0007559587141        -1.801137418
      4187            -20536            -20536            -25242            -25242        -0.0007609322704        -1.813110764
      4188            -20536            -20536            -26817            -26817        -0.0007604203178        -1.797231681
      4189            -20536            -20536            -28392            -28392        -0.0007594902901        -1.8122713
      4190            -22111            -22111             -3192             -3192        -0.0007512249622        -1.804958321
      4191            -22111            -22111             -4767             -4767        -0.0007529051401        -1.814442404
      4192            -22111            -22111             -6342             -6342        -0.0007513992194        -1.797111033
      4193            -22111            -22111             -7917             -7917        -0.0007542917768        -1.809377044
      4194            -22111            -22111             -9492             -9492        -0.000754558108        -1.811175866
      4195            -22111            -22111            -11067            -11067        -0.0007534032573        -1.807987049
      4196            -22111            -22111            -12642            -12642        -0.0007560064901        -1.804823024
      4197            -22111            -22111            -14217            -14217        -0.000762703531        -1.812983264
      4198            -22111            -22111            -15792            -15792        -0.0007614252301        -1.800637144
      4199            -22111            -22111            -17367            -17367        -0.0007575415302        -1.804070374
      4200            -22111            -22111            -18942            -18942        -0.0007582873039        -1.812256074
      4201            -22111            -22111            -20517            -20517        -0.0007613884682        -1.799418234
      4202            -22111            -22111            -22092            -22092        -0.0007668801835        -1.811994821
      4203            -22111            -22111            -23667            -23667        -0.0007650989943        -1.803258975
