Date & Time               Run Number
2014-12-09-16-35-24          3234
2014-12-09-16-35-41          3235
2014-12-09-16-35-58          3236
2014-12-09-16-36-16          3237
2014-12-09-16-36-33          3238
2014-12-09-16-36-50          3239
2014-12-09-16-37-08          3240
2014-12-09-16-37-25          3241
2014-12-09-16-37-42          3242
2014-12-09-16-38-18          3243
2014-12-09-16-38-35          3244
2014-12-09-16-38-52          3245
2014-12-09-16-39-10          3246
2014-12-09-16-39-27          3247
2014-12-09-16-39-44          3248
2014-12-09-16-40-02          3249
2014-12-09-16-40-19          3250
2014-12-09-16-40-36          3251
2014-12-09-16-41-12          3252
2014-12-09-16-41-30          3253
2014-12-09-16-41-47          3254
2014-12-09-16-42-04          3255
2014-12-09-16-42-21          3256
2014-12-09-16-42-39          3257
2014-12-09-16-42-56          3258
2014-12-09-16-43-13          3259
2014-12-09-16-43-30          3260
2014-12-09-16-44-07          3261
2014-12-09-16-44-24          3262
2014-12-09-16-44-41          3263
2014-12-09-16-44-58          3264
2014-12-09-16-45-16          3265
2014-12-09-16-45-33          3266
2014-12-09-16-45-50          3267
2014-12-09-16-46-07          3268
2014-12-09-16-46-24          3269
2014-12-09-16-47-01          3270
2014-12-09-16-47-18          3271
2014-12-09-16-47-35          3272
2014-12-09-16-47-53          3273
2014-12-09-16-48-10          3274
2014-12-09-16-48-27          3275
2014-12-09-16-48-44          3276
2014-12-09-16-49-01          3277
2014-12-09-16-49-19          3278
2014-12-09-16-49-55          3279
2014-12-09-16-50-12          3280
2014-12-09-16-50-29          3281
2014-12-09-16-50-46          3282
2014-12-09-16-51-04          3283
2014-12-09-16-51-21          3284
2014-12-09-16-51-38          3285
2014-12-09-16-51-55          3286
2014-12-09-16-52-12          3287
2014-12-09-16-52-49          3288
2014-12-09-16-53-06          3289
2014-12-09-16-53-23          3290
2014-12-09-16-53-40          3291
2014-12-09-16-53-57          3292
2014-12-09-16-54-15          3293
2014-12-09-16-54-32          3294
2014-12-09-16-54-50          3295
2014-12-09-16-55-07          3296
2014-12-15-13-13-37          3297
2014-12-15-13-13-55          3298
2014-12-15-13-14-14          3299
2014-12-15-13-14-32          3300
2014-12-15-13-15-01          3301
2014-12-15-13-15-19          3302
2014-12-15-13-15-38          3303
2014-12-15-13-15-56          3304
2014-12-15-13-16-25          3305
2014-12-15-13-16-43          3306
2014-12-15-13-17-02          3307
2014-12-15-13-17-20          3308
2014-12-15-14-12-51          3309
2014-12-15-14-13-10          3310
2014-12-15-14-13-28          3311
2014-12-15-14-13-47          3312
2014-12-15-14-14-16          3313
2014-12-15-14-14-34          3314
2014-12-15-14-14-53          3315
2014-12-15-14-15-11          3316
2014-12-15-14-15-41          3317
2014-12-15-14-15-59          3318
2014-12-15-14-16-17          3319
2014-12-15-14-16-36          3320
2014-12-15-14-23-11          3321
2014-12-15-14-23-29          3322
2014-12-15-14-23-48          3323
2014-12-15-14-24-06          3324
2014-12-15-14-24-36          3325
2014-12-15-14-24-54          3326
2014-12-15-14-25-12          3327
2014-12-15-14-25-31          3328
2014-12-15-14-26-00          3329
2014-12-15-14-26-18          3330
2014-12-15-14-26-37          3331
2014-12-15-14-26-55          3332
2014-12-15-14-30-33          3333
2014-12-15-14-30-52          3334
2014-12-16-12-12-41          4001
2014-12-16-12-16-28          4002
2014-12-16-13-01-43          4003
2014-12-16-13-01-59          4004
2014-12-16-13-02-16          4005
2014-12-16-13-02-33          4006
2014-12-16-13-02-49          4007
2014-12-16-13-03-06          4008
2014-12-16-13-03-23          4009
2014-12-16-13-03-39          4010
2014-12-16-13-03-56          4011
2014-12-16-13-04-13          4012
2014-12-16-13-04-29          4013
2014-12-16-13-04-46          4014
2014-12-16-13-05-02          4015
2014-12-16-13-05-19          4016
2014-12-16-13-05-36          4017
2014-12-16-13-05-52          4018
2014-12-16-13-06-09          4019
2014-12-16-13-06-44          4020
2014-12-16-13-07-01          4021
2014-12-16-13-07-18          4022
2014-12-16-13-07-35          4023
2014-12-16-13-07-51          4024
2014-12-16-13-08-08          4025
2014-12-16-13-08-25          4026
2014-12-16-13-08-41          4027
2014-12-16-13-08-58          4028
2014-12-16-13-09-15          4029
2014-12-16-13-09-31          4030
2014-12-16-13-09-48          4031
2014-12-16-13-10-04          4032
2014-12-16-13-10-21          4033
2014-12-16-13-10-38          4034
2014-12-16-13-10-54          4035
2014-12-16-13-11-11          4036
2014-12-16-13-11-46          4037
2014-12-16-13-12-03          4038
2014-12-16-13-12-20          4039
2014-12-16-13-12-36          4040
2014-12-16-13-12-53          4041
2014-12-16-13-13-09          4042
2014-12-16-13-13-26          4043
2014-12-16-13-13-43          4044
2014-12-16-13-13-59          4045
2014-12-16-13-14-16          4046
2014-12-16-13-14-32          4047
2014-12-16-13-14-49          4048
2014-12-16-13-15-06          4049
2014-12-16-13-15-22          4050
2014-12-16-13-15-39          4051
2014-12-16-13-15-55          4052
2014-12-16-13-16-12          4053
2014-12-16-13-16-48          4054
2014-12-16-13-17-04          4055
2014-12-16-13-17-21          4056
2014-12-16-13-17-38          4057
2014-12-16-13-17-54          4058
2014-12-16-13-18-11          4059
2014-12-16-13-18-28          4060
2014-12-16-13-18-44          4061
2014-12-16-13-19-01          4062
2014-12-16-13-19-18          4063
2014-12-16-13-19-34          4064
2014-12-16-13-19-51          4065
2014-12-16-13-20-07          4066
2014-12-16-13-20-24          4067
2014-12-16-13-20-41          4068
2014-12-16-13-20-57          4069
2014-12-16-13-21-14          4070
2014-12-16-13-21-50          4071
2014-12-16-13-22-06          4072
2014-12-16-13-22-23          4073
2014-12-16-13-22-40          4074
2014-12-16-13-22-56          4075
2014-12-16-13-23-13          4076
2014-12-16-13-23-30          4077
2014-12-16-13-23-46          4078
2014-12-16-13-24-03          4079
2014-12-16-13-24-20          4080
2014-12-16-13-24-36          4081
2014-12-16-13-24-53          4082
2014-12-16-13-25-10          4083
2014-12-16-13-25-26          4084
2014-12-16-13-25-43          4085
2014-12-16-13-25-59          4086
2014-12-16-13-26-16          4087
2014-12-16-13-26-52          4088
2014-12-16-13-27-08          4089
2014-12-16-13-27-25          4090
2014-12-16-13-27-41          4091
2014-12-16-13-27-58          4092
2014-12-16-13-28-15          4093
2014-12-16-13-28-31          4094
2014-12-16-13-28-48          4095
2014-12-16-13-29-05          4096
2014-12-16-13-29-21          4097
2014-12-16-13-29-38          4098
